2009  12  0  0  0 350
-102.426   0.1906738281  0.79752      217.50000 0.7236       2.764349       0.276407
-113.922   0.1906738281  0.80647     1160.00000 0.9487       0.513177       0.051313
-120.755   0.1906738281  0.81511     1160.50000 0.9525       0.474857       0.047483
-126.298   0.1906738281  0.81818     1161.00000 0.9488       0.512314       0.051226
-102.265   0.1953125000  0.83349      217.50000 0.7205       2.795465       0.279516
-114.511   0.1953125000  0.82518     1160.00000 0.9500       0.500138       0.050009
-121.652   0.1953125000  0.83746     1160.50000 0.9535       0.465216       0.046518
-127.248   0.1953125000  0.83085     1161.00000 0.9497       0.503493       0.050344
 -91.017   0.1953125000  0.95575     1684.00000 0.8152       1.848349       0.184810
 -99.880   0.1999511719  0.85445      217.00000 0.7599       2.400973       0.240076
-115.172   0.1999511719  0.81351     1160.00000 0.9514       0.486081       0.048603
-122.722   0.1999511719  0.83011     1160.50000 0.9546       0.453783       0.045375
-128.452   0.1999511719  0.82495     1161.00000 0.9508       0.492527       0.049248
 -90.290   0.1999511719  0.94815     1682.50000 0.7117       2.883625       0.288328
 -90.523   0.1999511719  0.95319     1683.00000 0.7540       2.459587       0.245958
 -91.223   0.1999511719  0.95570     1683.50000 0.7896       2.103680       0.210362
 -92.122   0.1999511719  0.95461     1684.00000 0.8145       1.855099       0.185487
 -99.762   0.2045898438  0.87007      217.00000 0.7605       2.395731       0.239550
-115.902   0.2045898438  0.83429     1160.00000 0.9529       0.471500       0.047145
-123.957   0.2045898438  0.83803     1160.50000 0.9559       0.441246       0.044121
-129.891   0.2045898438  0.82485     1161.00000 0.9520       0.480214       0.048016
 -91.168   0.2045898438  0.94610     1682.50000 0.7179       2.821192       0.282086
 -91.442   0.2045898438  0.95202     1683.00000 0.7570       2.430402       0.243039
 -92.197   0.2045898438  0.95592     1683.50000 0.7905       2.095074       0.209502
 -93.144   0.2045898438  0.95766     1684.00000 0.8143       1.857015       0.185681
 117.890   0.2045898438  0.77990     2168.50000 0.8775       1.224912       0.122490
-116.700   0.2092285156  0.81829     1160.00000 0.9543       0.456784       0.045673
-125.349   0.2092285156  0.82516     1160.50000 0.9572       0.428156       0.042812
-131.547   0.2092285156  0.81365     1161.00000 0.9533       0.467207       0.046716
 -92.286   0.2092285156  0.94464     1683.00000 0.7602       2.398292       0.239828
 -93.093   0.2092285156  0.94927     1683.50000 0.7917       2.082924       0.208287
 -94.091   0.2092285156  0.95175     1684.00000 0.8144       1.855777       0.185559
 117.280   0.2092285156  0.78530     2168.50000 0.8810       1.190204       0.119018
 -96.981   0.2138671875  0.87941      216.50000 0.8065       1.934848       0.193462
-117.565   0.2138671875  0.81887     1160.00000 0.9558       0.442232       0.044218
-126.892   0.2138671875  0.81582     1160.50000 0.9585       0.414953       0.041492
-133.404   0.2138671875  0.82103     1161.00000 0.9546       0.454039       0.045399
 -93.064   0.2138671875  0.93721     1683.00000 0.7635       2.365121       0.236511
 -93.919   0.2138671875  0.94250     1683.50000 0.7931       2.068825       0.206878
 113.085   0.2138671875  0.78091     2168.00000 0.8916       1.084256       0.108424
 -96.778   0.2185058594  0.87804      216.50000 0.8091       1.908777       0.190854
-118.496   0.2185058594  0.79413     1160.00000 0.9572       0.428076       0.042802
-128.579   0.2185058594  0.79864     1160.50000 0.9598       0.401987       0.040195
-135.448   0.2185058594  0.80903     1161.00000 0.9559       0.441139       0.044109
 -93.780   0.2185058594  0.92254     1683.00000 0.7668       2.332175       0.233216
 -94.681   0.2185058594  0.92859     1683.50000 0.7946       2.053926       0.205389
 112.440   0.2185058594  0.78201     2168.00000 0.8946       1.054362       0.105436
 -96.561   0.2231445312  0.87633      216.50000 0.8121       1.879244       0.187899
-130.402   0.2231445312  0.80477     1160.50000 0.9611       0.389533       0.038950
-137.662   0.2231445312  0.81862     1161.00000 0.9571       0.428848       0.042880
 -94.439   0.2231445312  0.90428     1683.00000 0.7700       2.300302       0.230029
 -95.383   0.2231445312  0.91113     1683.50000 0.7961       2.039032       0.203900
 111.723   0.2231445312  0.82737     2168.00000 0.8974       1.025664       0.102566
 -83.616   0.2231445312  0.75062     2513.00000 0.8750       1.250116       0.125008
-132.350   0.2277832031  0.78865     1160.50000 0.9622       0.377801       0.037777
-140.027   0.2277832031  0.80529     1161.00000 0.9583       0.417429       0.041739
 -95.045   0.2277832031  0.87306     1683.00000 0.7730       2.270038       0.227002
 -96.028   0.2277832031  0.88074     1683.50000 0.7975       2.024689       0.202466
 110.937   0.2277832031  0.82347     2168.00000 0.9002       0.998185       0.099818
-134.412   0.2324218750  0.77113     1160.50000 0.9633       0.366950       0.036691
-142.522   0.2324218750  0.79038     1161.00000 0.9593       0.407078       0.040704
 -96.619   0.2324218750  0.83026     1683.50000 0.7989       2.011251       0.201123
-136.571   0.2370605469  0.77632     1160.50000 0.9643       0.357093       0.035706
-145.120   0.2370605469  0.79074     1161.00000 0.9602       0.397933       0.039789
 -82.226   0.2370605469  0.76792     2513.00000 0.8721       1.278724       0.127872
-138.811   0.2416992188  0.75745     1160.50000 0.9652       0.348305       0.034827
-147.797   0.2416992188  0.77295     1161.00000 0.9610       0.390078       0.039004
-150.522   0.2463378906  0.75353     1161.00000 0.9616       0.383552       0.038351
 -76.106   0.2695312500  0.80025     1449.00000 0.9493       0.506923       0.050690
 -70.678   0.2695312500  0.78036     1449.50000 0.9471       0.528747       0.052868
 -98.454   0.2741699219  0.75850      213.00000 0.8570       1.429924       0.142986
 -75.849   0.2741699219  0.83680     1449.00000 0.9482       0.518074       0.051805
 -70.829   0.2741699219  0.81620     1449.50000 0.9457       0.543104       0.054304
 -98.394   0.2788085938  0.76546      213.00000 0.8570       1.430123       0.143006
 -75.612   0.2788085938  0.84484     1449.00000 0.9471       0.528955       0.052893
 -70.985   0.2788085938  0.82411     1449.50000 0.9443       0.557327       0.055726
 -98.347   0.2834472656  0.83034      213.00000 0.8569       1.430885       0.143082
 -75.390   0.2834472656  0.84758     1449.00000 0.9460       0.539537       0.053952
 -71.142   0.2834472656  0.83994     1449.50000 0.9429       0.571367       0.057130
 -98.312   0.2880859375  0.82909      213.00000 0.8568       1.432208       0.143215
 -75.180   0.2880859375  0.84658     1449.00000 0.9450       0.549795       0.054978
 -71.295   0.2880859375  0.83839     1449.50000 0.9415       0.585188       0.058512
 -98.288   0.2927246094  0.81872      213.00000 0.8566       1.434093       0.143403
 -74.980   0.2927246094  0.84449     1449.00000 0.9440       0.559710       0.055970
 -71.445   0.2927246094  0.83580     1449.50000 0.9401       0.598754       0.059869
 -98.275   0.2973632812  0.80350      213.00000 0.8564       1.436545       0.143649
 -74.788   0.2973632812  0.84159     1449.00000 0.9431       0.569269       0.056926
 -71.588   0.2973632812  0.83247     1449.50000 0.9388       0.612037       0.061197
 -98.273   0.3020019531  0.80323      213.00000 0.8560       1.439572       0.143951
 -74.602   0.3020019531  0.83100     1449.00000 0.9422       0.578460       0.057845
 -71.723   0.3020019531  0.83275     1449.50000 0.9375       0.625014       0.062495
 -98.281   0.3066406250  0.76821      213.00000 0.8557       1.443183       0.144313
 -74.422   0.3066406250  0.82621     1449.00000 0.9413       0.587275       0.058727
 -71.849   0.3066406250  0.82757     1449.50000 0.9362       0.637665       0.063760
 -74.245   0.3112792969  0.82045     1449.00000 0.9404       0.595709       0.059570
 -71.966   0.3112792969  0.82149     1449.50000 0.9350       0.649976       0.064992
 -74.072   0.3159179688  0.81359     1449.00000 0.9396       0.603759       0.060375
